OBJECTID;FID_UFS_AMZLEG_LLWGS84;SPRAREA;SPRPERIMET;SPRROTULO;SPRNOME;MSLINK;MAPID;CODIGO;AREA_1;PERIMETRO_;GEOCODIGO;NOME;AREA_TOT_G;objeid_88;Area;FID_pontos_ameacadas_atualizado_portaria_443_2014;codigocncf;id;preccncflo;POINT_X;POINT_Y;familia;nome_cient;autor;categoria
70;6;9,04883E+11;5822618,346;225;225;225;99;51;903357,715;5815,15259;51;MATO GROSSO;903357,715;223;0;17505;512620;26731;centroide de municipio;-55,88193;-15,485744;APOCYNACEAE;Oxypetalum ekblomii;Malme;EN
86;6;9,04883E+11;5822618,346;225;225;225;99;51;903357,715;5815,15259;51;MATO GROSSO;903357,715;223;0;22698;3328823;31818;centroide de municipio;-53,318846;-15,47417;ORCHIDACEAE;Cyrtopodium caiapoense;L.C.Menezes;VU
89;6;9,04883E+11;5822618,346;225;225;225;99;51;903357,715;5815,15259;51;MATO GROSSO;903357,715;223;0;23620;1487170;27234; ;-55,75;-15,46;ASTERACEAE;Lessingianthus venosissimus;(Sch.Bip. ex Baker) H.Rob.;EN
90;6;9,04883E+11;5822618,346;225;225;225;99;51;903357,715;5815,15259;51;MATO GROSSO;903357,715;223;0;10981;3326772;30004; ;-55,8469;-15,4284;GESNERIACEAE;Goyazia petraea;(S.M.Phillips) Wiehler;EN
93;6;9,04883E+11;5822618,346;225;225;225;99;51;903357,715;5815,15259;51;MATO GROSSO;903357,715;223;0;3392;1652722;8542;centroide de municipio;-58,485388;-15,407964;LECYTHIDACEAE;Cariniana ianeirensis;R.Knuth;EN
101;6;9,04883E+11;5822618,346;225;225;225;99;51;903357,715;5815,15259;51;MATO GROSSO;903357,715;223;0;12077;1134373;30105;centroide de reserva/parque;-55,881867;-15,402872;LAMIACEAE;Hypenia micrantha;(Benth.) Harley;EN
117;6;9,04883E+11;5822618,346;225;225;225;99;51;903357,715;5815,15259;51;MATO GROSSO;903357,715;223;0;6679;3327032;7896; ;-55,733333;-15,333333;GESNERIACEAE;Sinningia defoliata;(Malme) Chautems;VU
119;6;9,04883E+11;5822618,346;225;225;225;99;51;903357,715;5815,15259;51;MATO GROSSO;903357,715;223;0;4850;1232879;14475;centroide de municipio;-52,636657;-15,332271;SAPOTACEAE;Manilkara dardanoi;Ducke;VU
122;6;9,04883E+11;5822618,346;225;225;225;99;51;903357,715;5815,15259;51;MATO GROSSO;903357,715;223;0;22571;327032;31789;centroide de municipio;-52,636656;-15,332271;ORCHIDACEAE;Cattleya walkeriana;Gardner;VU
127;6;9,04883E+11;5822618,346;225;225;225;99;51;903357,715;5815,15259;51;MATO GROSSO;903357,715;223;0;16660;1497352;30501; ;-52,2;-15,3;MALPIGHIACEAE;Peixotoa psilophylla;C.E.Anderson;VU
128;6;9,04883E+11;5822618,346;225;225;225;99;51;903357,715;5815,15259;51;MATO GROSSO;903357,715;223;0;14334;3339641;115528;centroide de municipio;-58,110959;-15,299683;ANACARDIACEAE;Schinopsis balansae;Engl.;EN
139;6;9,04883E+11;5822618,346;225;225;225;99;51;903357,715;5815,15259;51;MATO GROSSO;903357,715;223;0;12498;1433329;102517; ;-55,5;-15,2;MALPIGHIACEAE;Janusia occhionii;W.R.Anderson;EN
167;6;9,04883E+11;5822618,346;225;225;225;99;51;903357,715;5815,15259;51;MATO GROSSO;903357,715;223;0;15570;497819;30449;centroide de municipio;-58,389194;-15,06505;MALPIGHIACEAE;Byrsonima lanulosa;W.R.Anderson;EN
183;6;9,04883E+11;5822618,346;225;225;225;99;51;903357,715;5815,15259;51;MATO GROSSO;903357,715;223;0;25742;120097;23803;centroide de municipio;-56,676012;-14,768736;MELIACEAE;Swietenia macrophylla;King;VU
186;6;9,04883E+11;5822618,346;225;225;225;99;51;903357,715;5815,15259;51;MATO GROSSO;903357,715;223;0;15056;1770964;4274;centroide de municipio;-52,325033;-14,747685;ALISMATACEAE;Sagittaria lancifolia;L.;VU
194;6;9,04883E+11;5822618,346;225;225;225;99;51;903357,715;5815,15259;51;MATO GROSSO;903357,715;223;0;24840;785381;32219;centroide de municipio;-52,325033;-14,747685;POACEAE;Digitaria neesiana;Henrard;EN
224;6;9,04883E+11;5822618,346;225;225;225;99;51;903357,715;5815,15259;51;MATO GROSSO;903357,715;223;0;2640;1421348;9992;centroide de municipio;-56,855298;-13,952724;MELIACEAE;Cedrela odorata;L.;VU
225;6;9,04883E+11;5822618,346;225;225;225;99;51;903357,715;5815,15259;51;MATO GROSSO;903357,715;223;0;16742;933373;104821;centroide de municipio;-56,855298;-13,952724;ASTERACEAE;Lessingianthus adenophyllus;(Mart. ex DC.) H.Rob.;EN
228;6;9,04883E+11;5822618,346;225;225;225;99;51;903357,715;5815,15259;51;MATO GROSSO;903357,715;223;0;8315;1105060;13040; ;-58,92;-13,83;POACEAE;Axonopus fastigiatus;(Nees ex Trin.) Kuhlm.;VU
231;4;2,78999E+11;4022956,839;21;21;21;99;17;277620,914;4011,783;17;TOCANTINS;277620,914;20;0;11625;103267;11442;centroide de municipio;-47,082727;-13,175476;ORCHIDACEAE;Cycnoches pentadactylum;Lindl.;EN
238;6;9,04883E+11;5822618,346;225;225;225;99;51;903357,715;5815,15259;51;MATO GROSSO;903357,715;223;0;28724;1741330;1379; ;-51,766667;-12,816667;SIMAROUBACEAE;Simaba warmingiana;Engl.;EN
249;0;2,40402E+11;3463076,051;1;1;1;99;11;237576,167;3441,37404;11;Rondônia;237576,167;0;0;22109;2915773;22976; ;-60,1667;-12,75;FABACEAE;Hymenaea parvifolia;Huber;VU
251;0;2,40402E+11;3463076,051;1;1;1;99;11;237576,167;3441,37404;11;Rondônia;237576,167;0;0;23230;691584;23376; ;-60,485833;-12,504167;LAURACEAE;Mezilaurus itauba;(Meisn.) Taub. ex Mez;VU
256;6;9,04883E+11;5822618,346;225;225;225;99;51;903357,715;5815,15259;51;MATO GROSSO;903357,715;223;0;15635;127659;79016;centroide de municipio;-56,327612;-12,459575;FABACEAE;Centrosema carajasense;Cavalcante;VU
258;6;9,04883E+11;5822618,346;225;225;225;99;51;903357,715;5815,15259;51;MATO GROSSO;903357,715;223;0;27833;1918183;19795;5 a 10km;-55,533333;-12,3;MYRISTICACEAE;Virola surinamensis;(Rol. ex Rottb.) Warb.;VU
261;6;9,04883E+11;5822618,346;225;225;225;99;51;903357,715;5815,15259;51;MATO GROSSO;903357,715;223;0;24072;683100;23424;centroide de municipio;-54,845418;-11,924441;LECYTHIDACEAE;Bertholletia excelsa;Bonpl.;VU
